Hero1,Hero2,Appeared_Together
SPIDER-MAN,CAPTAIN AMERICA,145
SPIDER-MAN,IRON MAN,94
SPIDER-MAN,THING,126
SPIDER-MAN,THOR,95
SPIDER-MAN,HUMAN TORCH,147
SPIDER-MAN,MR. FANTASTIC,121
SPIDER-MAN,HULK,93
SPIDER-MAN,WOLVERINE,63
SPIDER-MAN,INVISIBLE WOMAN,97
SPIDER-MAN,SCARLET WITCH,67
SPIDER-MAN,BEAST,51
SPIDER-MAN,DR. STRANGE,71
SPIDER-MAN,"WATSON-PARKER, MARY",0
SPIDER-MAN,DAREDEVIL,103
SPIDER-MAN,HAWK,57
SPIDER-MAN,VISION,0
SPIDER-MAN,CYCLOPS,51
SPIDER-MAN,WASP,78
SPIDER-MAN,"JAMESON, J. JONAH",526
SPIDER-MAN,ANT-MAN,46
SPIDER-MAN,SUB-MARINER,46
SPIDER-MAN,STORM,42
SPIDER-MAN,PROFESSOR X,41
SPIDER-MAN,"FURY, COL. NICHOLAS",0
SPIDER-MAN,MARVEL GIRL,24
SPIDER-MAN,COLOSSUS II,45
SPIDER-MAN,NIGHTCRAWLER,35
SPIDER-MAN,ANGEL,35
SPIDER-MAN,ICEMAN,31
SPIDER-MAN,SHE-HULK,58
SPIDER-MAN,"JARVIS, EDWIN",0
SPIDER-MAN,WONDER MAN,39
SPIDER-MAN,BLACK WIDOW,40
SPIDER-MAN,"ROBERTSON, JOE",356
SPIDER-MAN,"PARKER, MAY",380
SPIDER-MAN,HERCULES [GREEK GOD],29
SPIDER-MAN,QUICKSILVER,23
SPIDER-MAN,SHADOWCAT,16
SPIDER-MAN,"JONES, RICHARD MILHO",14
SPIDER-MAN,ODIN [ASGARDIAN],7
SPIDER-MAN,ROGUE ,26
SPIDER-MAN,BLACK PANTHER,24
SPIDER-MAN,SILVER SURFER,34
SPIDER-MAN,CANNONBALL II,13
SPIDER-MAN,PUNISHER II,43
SPIDER-MAN,CAPTAIN BRITAIN,8
SPIDER-MAN,"NELSON, FRANKLIN FOG",28
SPIDER-MAN,DR. DOOM,44
SPIDER-MAN,"RICHARDS, FRANKLIN B",29
SPIDER-MAN,CRYSTAL [INHUMAN],11
SPIDER-MAN,HAVOK,9
SPIDER-MAN,"SUMMERS, NATHAN CHRI",5
SPIDER-MAN,BALDER [ASGARDIAN],5
SPIDER-MAN,LOKI [ASGARDIAN],11
SPIDER-MAN,"BANNER, BETTY ROSS T",6
SPIDER-MAN,IRON MAN IV,17
SPIDER-MAN,"LEEDS, BETTY BRANT",249
SPIDER-MAN,KINGPIN,102
SPIDER-MAN,"THOMPSON, EUGENE FLA",240
SPIDER-MAN,SIF,4
SPIDER-MAN,FANDRAL [ASGARDIAN],6
SPIDER-MAN,HOGUN [ASGARDIAN],5
SPIDER-MAN,VOLSTAGG,5
SPIDER-MAN,"CAGE, LUKE",24
SPIDER-MAN,"DUGAN, TIMOTHY ALOYI",15
SPIDER-MAN,WOLFSBANE,11
SPIDER-MAN,PSYLOCKE,9
SPIDER-MAN,BANSHEE,6
SPIDER-MAN,WONG,16
SPIDER-MAN,FALCON,22
SPIDER-MAN,MAGNETO,20
SPIDER-MAN,"ROSS, GEN. THADDEUS",0
SPIDER-MAN,SUNSPOT,8
SPIDER-MAN,BLACK KNIGHT V,21
SPIDER-MAN,"MASTERS, ALICIA REIS",20
SPIDER-MAN,IRON FIST,15
SPIDER-MAN,GAMBIT,9
SPIDER-MAN,"NORRISS, SISTER BARB",15
SPIDER-MAN,CLEA,6
SPIDER-MAN,JUBILEE,0
SPIDER-MAN,BOOMER,2
SPIDER-MAN,MOON KNIGHT,24
SPIDER-MAN,USAGENT,13
SPIDER-MAN,"OSBORN, HARRY",181
SPIDER-MAN,"MACTAGGERT, MOIRA KI",2
