Hero1,Hero2,Appeared_Together
SPIDER-MAN,POLARIS,5
SPIDER-MAN,KA-ZAR,19
SPIDER-MAN,QUASAR III,29
SPIDER-MAN,CAPTAIN MARVEL II,30
SPIDER-MAN,MOCKINGBIRD,9
SPIDER-MAN,NOVA,39
SPIDER-MAN,SHANG-CHI,4
SPIDER-MAN,MIRAGE II,6
SPIDER-MAN,BINARY,10
SPIDER-MAN,"HUDSON, HEATHER",4
SPIDER-MAN,TIGRA,14
SPIDER-MAN,SPIDER-MAN CLONE,98
SPIDER-MAN,"PAGE, KAREN",11
SPIDER-MAN,MEDUSA,12
SPIDER-MAN,ZABU,17
SPIDER-MAN,NAMORITA,15
SPIDER-MAN,GHOST RIDER II,16
SPIDER-MAN,"URICH, BEN",109
SPIDER-MAN,FIRESTAR,24
SPIDER-MAN,MOONDRAGON,13
SPIDER-MAN,DRACULA,5
SPIDER-MAN,"OSBORN, LIZ ALLAN",138
SPIDER-MAN,HEIMDALL [ASGARDIAN],2
SPIDER-MAN,SERSI,18
SPIDER-MAN,THUNDERSTRIKE,19
SPIDER-MAN,SASQUATCH,12
SPIDER-MAN,DAZZLER II,8
SPIDER-MAN,JUSTICE II,17
SPIDER-MAN,MEGGAN,4
SPIDER-MAN,"CARTER, SHARON",2
SPIDER-MAN,GALACTUS,25
SPIDER-MAN,GORGON [INHUMAN],9
SPIDER-MAN,WHITE QUEEN,3
SPIDER-MAN,PHOENIX III,9
SPIDER-MAN,BLACK BOLT,10
SPIDER-MAN,KARNAK [INHUMAN],8
SPIDER-MAN,"WATSON, ANNA",128
SPIDER-MAN,STARFOX,24
SPIDER-MAN,BISHOP ,2
SPIDER-MAN,PUCK,7
SPIDER-MAN,RED SKULL,5
SPIDER-MAN,ENCHANTRESS,19
SPIDER-MAN,DOC SAMSON,7
SPIDER-MAN,NIGHTHAWK II,7
SPIDER-MAN,THUNDERBIRD II,4
SPIDER-MAN,HELLCAT,13
SPIDER-MAN,MAGIK,6
SPIDER-MAN,FORGE,5
SPIDER-MAN,MAN-THING,8
SPIDER-MAN,"KNIGHT, MISTY",6
SPIDER-MAN,"KINCAID, DR. JANE FO",3
SPIDER-MAN,"TALBOT, GLENN",0
SPIDER-MAN,GHOST RIDER III,20
SPIDER-MAN,SPEEDBALL,17
SPIDER-MAN,TRITON,9
SPIDER-MAN,CAPTAIN MARVEL,11
SPIDER-MAN,"HOGAN, VIRGINIA PEPP",1
SPIDER-MAN,SHAMAN,8
SPIDER-MAN,"COOPER, DR. VALERIE",6
SPIDER-MAN,UATU,16
SPIDER-MAN,"HOGAN, HAROLD J. HAP",2
SPIDER-MAN,"JAMESON, COL. JOHN",0
SPIDER-MAN,CYPHER,5
SPIDER-MAN,MYSTIQUE,3
SPIDER-MAN,LOCKHEED,5
SPIDER-MAN,SPIDER-WOMAN,14
SPIDER-MAN,WARLOCK III,9
SPIDER-MAN,NORTHSTAR,8
SPIDER-MAN,HUMAN TORCH ANDROID,2
SPIDER-MAN,SHANNA,10
SPIDER-MAN,SANDMAN,62
SPIDER-MAN,DAGGER,19
SPIDER-MAN,MEPHISTO,11
SPIDER-MAN,GEE,8
SPIDER-MAN,"GRANT, GLORIA GLORY",111
SPIDER-MAN,ANT-MAN II,5
SPIDER-MAN,AURORA,8
SPIDER-MAN,LOCKJAW [INHUMAN],3
SPIDER-MAN,CLOAK,22
SPIDER-MAN,SIRYN,3
SPIDER-MAN,BLACK CAT,92
SPIDER-MAN,KARNILLA [ASGARDIAN],2
SPIDER-MAN,LYJA LAZERFIST [SKRU,7
SPIDER-MAN,"JONES, GABE",4
SPIDER-MAN,PHARAOH RAMA-TUT,11
SPIDER-MAN,"TARR, BLACK JACK",1
SPIDER-MAN,SPIDER-WOMAN II,19
SPIDER-MAN,DR. OCTOPUS,89
SPIDER-MAN,"GYRICH, HENRY PETER",4
SPIDER-MAN,VIZIER,5
SPIDER-MAN,POWER MAN,12
SPIDER-MAN,THANOS,14
SPIDER-MAN,BEETLE,25
SPIDER-MAN,HIGH EVOLUTIONARY,4
SPIDER-MAN,"WING, COLLEEN",4
SPIDER-MAN,BLOB,6
SPIDER-MAN,REDWING,7
SPIDER-MAN,DR. DRUID,8
SPIDER-MAN,WEREWOLF BY NIGHT,3
SPIDER-MAN,FRENCHIE,12
SPIDER-MAN,LILANDRA NERAMANI [S,2
SPIDER-MAN,HELLSTORM,5
SPIDER-MAN,"STACY, GWEN",93
SPIDER-MAN,MOONSTONE II,8
SPIDER-MAN,"SITWELL, JASPER",2
SPIDER-MAN,MICROCHIP,5
SPIDER-MAN,GREEN GOBLIN,85
SPIDER-MAN,NIGHT THRASHER,14
SPIDER-MAN,X-MAN,8
SPIDER-MAN,"WU, LEIKO",0
SPIDER-MAN,SABRETOOTH,4
SPIDER-MAN,BOX IV,0
SPIDER-MAN,"ARBOGAST, BAMBI",0
SPIDER-MAN,DOMINO III,0
SPIDER-MAN,"ROM, SPACEKNIGHT",2
SPIDER-MAN,COUNTERWEIGHT II,5
SPIDER-MAN,"DE LA FONTAINE, CONT",6
SPIDER-MAN,RICTOR,0
SPIDER-MAN,"RESTON, CLIVE",0
SPIDER-MAN,NOMAD III,1
SPIDER-MAN,LIGHTSPEED,4
SPIDER-MAN,COUNTERWEIGHT,4
SPIDER-MAN,APOCALYPSE,0
SPIDER-MAN,"SMITH, SIR DENIS NAY",1
SPIDER-MAN,VASHTI,4
SPIDER-MAN,GARGOYLE II,9
SPIDER-MAN,WARLOCK II,14
SPIDER-MAN,MANDARIN,3
SPIDER-MAN,"CARTER, PEGGY",4
SPIDER-MAN,SILVER SABLE,23
SPIDER-MAN,"ALRAUNE, MARLENE",8
SPIDER-MAN,MS. MARVEL II,7
SPIDER-MAN,"HARKNESS, AGATHA",8
SPIDER-MAN,SKIN,2
SPIDER-MAN,DRAX,11
SPIDER-MAN,CHAMBER,2
SPIDER-MAN,"SUMMERS, MADELYNE MA",2
SPIDER-MAN,HUSK,2
SPIDER-MAN,"LEEDS, NED",78
SPIDER-MAN,SCREAMING MIMI,6
SPIDER-MAN,DIAMONDBACK II,0
SPIDER-MAN,"ROSENTHAL, BERNIE",4
SPIDER-MAN,VENOM,54
SPIDER-MAN,"QUARTERMAIN, CLAY",4
SPIDER-MAN,NOVA II,7
SPIDER-MAN,"JONES, MARLO CHANDLE",2
SPIDER-MAN,ANCIENT ONE,2
SPIDER-MAN,NIGHTMARE,2
SPIDER-MAN,"JAMESON, MARLA MADIS",61
SPIDER-MAN,MARROW,5
SPIDER-MAN,LIZARD,68
SPIDER-MAN,WIZARD,20
SPIDER-MAN,HELA [ASGARDIAN],1
SPIDER-MAN,STARSHINE II,1
SPIDER-MAN,SYNCH,3
SPIDER-MAN,HOWARD THE DUCK,4
SPIDER-MAN,"WINGFOOT, WYATT",3
SPIDER-MAN,BLACK KING,4
SPIDER-MAN,MAGMA,6
SPIDER-MAN,CALIBAN,2
SPIDER-MAN,MAKKARI,0
SPIDER-MAN,ABSORBING MAN,17
SPIDER-MAN,"TILBY, TRISH",7
SPIDER-MAN,GUARDIAN,4
CAPTAIN AMERICA,IRON MAN,446
CAPTAIN AMERICA,THING,168
CAPTAIN AMERICA,THOR,386
CAPTAIN AMERICA,HUMAN TORCH,158
CAPTAIN AMERICA,MR. FANTASTIC,166
CAPTAIN AMERICA,HULK,111
CAPTAIN AMERICA,WOLVERINE,78
CAPTAIN AMERICA,INVISIBLE WOMAN,149
CAPTAIN AMERICA,SCARLET WITCH,374
CAPTAIN AMERICA,BEAST,169
CAPTAIN AMERICA,DR. STRANGE,67
CAPTAIN AMERICA,"WATSON-PARKER, MARY",0
CAPTAIN AMERICA,DAREDEVIL,71
CAPTAIN AMERICA,HAWK,322
CAPTAIN AMERICA,VISION,0
CAPTAIN AMERICA,CYCLOPS,66
CAPTAIN AMERICA,WASP,384
CAPTAIN AMERICA,"JAMESON, J. JONAH",32
CAPTAIN AMERICA,ANT-MAN,295
CAPTAIN AMERICA,SUB-MARINER,158
CAPTAIN AMERICA,STORM,57
CAPTAIN AMERICA,PROFESSOR X,61
CAPTAIN AMERICA,"FURY, COL. NICHOLAS",0
CAPTAIN AMERICA,MARVEL GIRL,45
CAPTAIN AMERICA,COLOSSUS II,54
CAPTAIN AMERICA,NIGHTCRAWLER,35
CAPTAIN AMERICA,ANGEL,52
CAPTAIN AMERICA,ICEMAN,49
CAPTAIN AMERICA,SHE-HULK,172
CAPTAIN AMERICA,"JARVIS, EDWIN",0
CAPTAIN AMERICA,WONDER MAN,216
CAPTAIN AMERICA,BLACK WIDOW,143
CAPTAIN AMERICA,"ROBERTSON, JOE",16
CAPTAIN AMERICA,"PARKER, MAY",13
CAPTAIN AMERICA,HERCULES [GREEK GOD],182
CAPTAIN AMERICA,QUICKSILVER,165
CAPTAIN AMERICA,SHADOWCAT,19
CAPTAIN AMERICA,"JONES, RICHARD MILHO",80
CAPTAIN AMERICA,ODIN [ASGARDIAN],15
CAPTAIN AMERICA,ROGUE ,48
CAPTAIN AMERICA,BLACK PANTHER,131
CAPTAIN AMERICA,SILVER SURFER,54
CAPTAIN AMERICA,CANNONBALL II,12
CAPTAIN AMERICA,PUNISHER II,8
CAPTAIN AMERICA,CAPTAIN BRITAIN,25
CAPTAIN AMERICA,"NELSON, FRANKLIN FOG",10
CAPTAIN AMERICA,DR. DOOM,65
CAPTAIN AMERICA,"RICHARDS, FRANKLIN B",40
CAPTAIN AMERICA,CRYSTAL [INHUMAN],73
CAPTAIN AMERICA,HAVOK,21
CAPTAIN AMERICA,"SUMMERS, NATHAN CHRI",11
CAPTAIN AMERICA,BALDER [ASGARDIAN],6
CAPTAIN AMERICA,LOKI [ASGARDIAN],32
CAPTAIN AMERICA,"BANNER, BETTY ROSS T",14
CAPTAIN AMERICA,IRON MAN IV,37
CAPTAIN AMERICA,"LEEDS, BETTY BRANT",5
CAPTAIN AMERICA,KINGPIN,21
CAPTAIN AMERICA,"THOMPSON, EUGENE FLA",5
CAPTAIN AMERICA,SIF,5
CAPTAIN AMERICA,FANDRAL [ASGARDIAN],5
CAPTAIN AMERICA,HOGUN [ASGARDIAN],6
CAPTAIN AMERICA,VOLSTAGG,6
CAPTAIN AMERICA,"CAGE, LUKE",19
CAPTAIN AMERICA,"DUGAN, TIMOTHY ALOYI",79
CAPTAIN AMERICA,WOLFSBANE,17
CAPTAIN AMERICA,PSYLOCKE,29
CAPTAIN AMERICA,BANSHEE,4
CAPTAIN AMERICA,WONG,11
CAPTAIN AMERICA,FALCON,189
CAPTAIN AMERICA,MAGNETO,35
CAPTAIN AMERICA,"ROSS, GEN. THADDEUS",0
CAPTAIN AMERICA,SUNSPOT,5
CAPTAIN AMERICA,BLACK KNIGHT V,119
CAPTAIN AMERICA,"MASTERS, ALICIA REIS",24
CAPTAIN AMERICA,IRON FIST,14
CAPTAIN AMERICA,GAMBIT,16
CAPTAIN AMERICA,"NORRISS, SISTER BARB",24
CAPTAIN AMERICA,CLEA,4
CAPTAIN AMERICA,JUBILEE,3
CAPTAIN AMERICA,BOOMER,2
CAPTAIN AMERICA,MOON KNIGHT,13
CAPTAIN AMERICA,USAGENT,56
CAPTAIN AMERICA,"OSBORN, HARRY",5
CAPTAIN AMERICA,"MACTAGGERT, MOIRA KI",5
CAPTAIN AMERICA,POLARIS,15
CAPTAIN AMERICA,KA-ZAR,8
CAPTAIN AMERICA,QUASAR III,104
CAPTAIN AMERICA,CAPTAIN MARVEL II,119
CAPTAIN AMERICA,MOCKINGBIRD,51
CAPTAIN AMERICA,NOVA,40
CAPTAIN AMERICA,SHANG-CHI,2
CAPTAIN AMERICA,MIRAGE II,5
CAPTAIN AMERICA,BINARY,59
CAPTAIN AMERICA,"HUDSON, HEATHER",25
CAPTAIN AMERICA,TIGRA,56
CAPTAIN AMERICA,SPIDER-MAN CLONE,3
CAPTAIN AMERICA,"PAGE, KAREN",5
CAPTAIN AMERICA,MEDUSA,17
CAPTAIN AMERICA,ZABU,5
CAPTAIN AMERICA,NAMORITA,34
CAPTAIN AMERICA,GHOST RIDER II,8
CAPTAIN AMERICA,"URICH, BEN",7
CAPTAIN AMERICA,FIRESTAR,58
CAPTAIN AMERICA,MOONDRAGON,57
CAPTAIN AMERICA,DRACULA,3
CAPTAIN AMERICA,"OSBORN, LIZ ALLAN",5
CAPTAIN AMERICA,HEIMDALL [ASGARDIAN],5
CAPTAIN AMERICA,SERSI,82
CAPTAIN AMERICA,THUNDERSTRIKE,55
CAPTAIN AMERICA,SASQUATCH,30
CAPTAIN AMERICA,DAZZLER II,9
CAPTAIN AMERICA,JUSTICE II,47
CAPTAIN AMERICA,MEGGAN,5
CAPTAIN AMERICA,"CARTER, SHARON",126
CAPTAIN AMERICA,GALACTUS,37
CAPTAIN AMERICA,GORGON [INHUMAN],14
CAPTAIN AMERICA,WHITE QUEEN,2
CAPTAIN AMERICA,PHOENIX III,7
CAPTAIN AMERICA,BLACK BOLT,17
CAPTAIN AMERICA,KARNAK [INHUMAN],13
CAPTAIN AMERICA,"WATSON, ANNA",2
CAPTAIN AMERICA,STARFOX,71
CAPTAIN AMERICA,BISHOP ,6
CAPTAIN AMERICA,PUCK,22
CAPTAIN AMERICA,RED SKULL,122
CAPTAIN AMERICA,ENCHANTRESS,34
CAPTAIN AMERICA,DOC SAMSON,16
CAPTAIN AMERICA,NIGHTHAWK II,14
CAPTAIN AMERICA,THUNDERBIRD II,2
CAPTAIN AMERICA,HELLCAT,29
CAPTAIN AMERICA,MAGIK,7
CAPTAIN AMERICA,FORGE,7
CAPTAIN AMERICA,MAN-THING,3
CAPTAIN AMERICA,"KNIGHT, MISTY",9
CAPTAIN AMERICA,"KINCAID, DR. JANE FO",9
CAPTAIN AMERICA,"TALBOT, GLENN",3
CAPTAIN AMERICA,GHOST RIDER III,1
CAPTAIN AMERICA,SPEEDBALL,24
CAPTAIN AMERICA,TRITON,12
CAPTAIN AMERICA,CAPTAIN MARVEL,34
CAPTAIN AMERICA,"HOGAN, VIRGINIA PEPP",14
CAPTAIN AMERICA,SHAMAN,23
CAPTAIN AMERICA,"COOPER, DR. VALERIE",20
CAPTAIN AMERICA,UATU,28
CAPTAIN AMERICA,"HOGAN, HAROLD J. HAP",16
CAPTAIN AMERICA,"JAMESON, COL. JOHN",0
CAPTAIN AMERICA,CYPHER,4
CAPTAIN AMERICA,MYSTIQUE,4
CAPTAIN AMERICA,LOCKHEED,7
CAPTAIN AMERICA,SPIDER-WOMAN,9
CAPTAIN AMERICA,WARLOCK III,8
CAPTAIN AMERICA,NORTHSTAR,17
CAPTAIN AMERICA,HUMAN TORCH ANDROID,71
CAPTAIN AMERICA,SHANNA,4
CAPTAIN AMERICA,SANDMAN,24
CAPTAIN AMERICA,DAGGER,6
CAPTAIN AMERICA,MEPHISTO,12
CAPTAIN AMERICA,GEE,2
CAPTAIN AMERICA,"GRANT, GLORIA GLORY",1
CAPTAIN AMERICA,ANT-MAN II,21
CAPTAIN AMERICA,AURORA,14
CAPTAIN AMERICA,LOCKJAW [INHUMAN],13
CAPTAIN AMERICA,CLOAK,6
CAPTAIN AMERICA,SIRYN,2
CAPTAIN AMERICA,BLACK CAT,6
CAPTAIN AMERICA,KARNILLA [ASGARDIAN],1
CAPTAIN AMERICA,LYJA LAZERFIST [SKRU,8
CAPTAIN AMERICA,"JONES, GABE",26
CAPTAIN AMERICA,PHARAOH RAMA-TUT,54
CAPTAIN AMERICA,"TARR, BLACK JACK",0
CAPTAIN AMERICA,SPIDER-WOMAN II,28
CAPTAIN AMERICA,DR. OCTOPUS,17
CAPTAIN AMERICA,"GYRICH, HENRY PETER",34
CAPTAIN AMERICA,VIZIER,5
CAPTAIN AMERICA,POWER MAN,24
CAPTAIN AMERICA,THANOS,31
CAPTAIN AMERICA,BEETLE,21
CAPTAIN AMERICA,HIGH EVOLUTIONARY,7
CAPTAIN AMERICA,"WING, COLLEEN",4
CAPTAIN AMERICA,BLOB,9
CAPTAIN AMERICA,REDWING,79
CAPTAIN AMERICA,DR. DRUID,42
CAPTAIN AMERICA,WEREWOLF BY NIGHT,5
CAPTAIN AMERICA,FRENCHIE,0
CAPTAIN AMERICA,LILANDRA NERAMANI [S,7
CAPTAIN AMERICA,HELLSTORM,6
CAPTAIN AMERICA,"STACY, GWEN",0
CAPTAIN AMERICA,MOONSTONE II,28
CAPTAIN AMERICA,"SITWELL, JASPER",15
CAPTAIN AMERICA,MICROCHIP,2
CAPTAIN AMERICA,GREEN GOBLIN,5
CAPTAIN AMERICA,NIGHT THRASHER,10
CAPTAIN AMERICA,X-MAN,7
CAPTAIN AMERICA,"WU, LEIKO",0
CAPTAIN AMERICA,SABRETOOTH,1
CAPTAIN AMERICA,BOX IV,9
CAPTAIN AMERICA,"ARBOGAST, BAMBI",10
CAPTAIN AMERICA,DOMINO III,1
CAPTAIN AMERICA,"ROM, SPACEKNIGHT",4
CAPTAIN AMERICA,COUNTERWEIGHT II,1
CAPTAIN AMERICA,"DE LA FONTAINE, CONT",23
CAPTAIN AMERICA,RICTOR,0
CAPTAIN AMERICA,"RESTON, CLIVE",0
CAPTAIN AMERICA,NOMAD III,47
CAPTAIN AMERICA,LIGHTSPEED,1
CAPTAIN AMERICA,COUNTERWEIGHT,1
CAPTAIN AMERICA,APOCALYPSE,5
CAPTAIN AMERICA,"SMITH, SIR DENIS NAY",0
CAPTAIN AMERICA,VASHTI,6
CAPTAIN AMERICA,GARGOYLE II,12
CAPTAIN AMERICA,WARLOCK II,23
CAPTAIN AMERICA,MANDARIN,13
CAPTAIN AMERICA,"CARTER, PEGGY",68
CAPTAIN AMERICA,SILVER SABLE,4
CAPTAIN AMERICA,"ALRAUNE, MARLENE",0
CAPTAIN AMERICA,MS. MARVEL II,9
CAPTAIN AMERICA,"HARKNESS, AGATHA",18
CAPTAIN AMERICA,SKIN,1
CAPTAIN AMERICA,DRAX,29
CAPTAIN AMERICA,CHAMBER,1
CAPTAIN AMERICA,"SUMMERS, MADELYNE MA",3
CAPTAIN AMERICA,HUSK,1
CAPTAIN AMERICA,"LEEDS, NED",1
CAPTAIN AMERICA,SCREAMING MIMI,18
CAPTAIN AMERICA,DIAMONDBACK II,61
CAPTAIN AMERICA,"ROSENTHAL, BERNIE",76
CAPTAIN AMERICA,VENOM,1
CAPTAIN AMERICA,"QUARTERMAIN, CLAY",3
CAPTAIN AMERICA,NOVA II,16
CAPTAIN AMERICA,"JONES, MARLO CHANDLE",2
CAPTAIN AMERICA,ANCIENT ONE,1
CAPTAIN AMERICA,NIGHTMARE,3
CAPTAIN AMERICA,"JAMESON, MARLA MADIS",1
CAPTAIN AMERICA,MARROW,1
CAPTAIN AMERICA,LIZARD,13
CAPTAIN AMERICA,WIZARD,17
CAPTAIN AMERICA,HELA [ASGARDIAN],8
CAPTAIN AMERICA,STARSHINE II,3
CAPTAIN AMERICA,SYNCH,1
CAPTAIN AMERICA,HOWARD THE DUCK,0
CAPTAIN AMERICA,"WINGFOOT, WYATT",3
CAPTAIN AMERICA,BLACK KING,0
CAPTAIN AMERICA,MAGMA,5
CAPTAIN AMERICA,CALIBAN,2
CAPTAIN AMERICA,MAKKARI,9
CAPTAIN AMERICA,ABSORBING MAN,23
CAPTAIN AMERICA,"TILBY, TRISH",4
CAPTAIN AMERICA,GUARDIAN,9
IRON MAN,THING,129
IRON MAN,THOR,344
IRON MAN,HUMAN TORCH,108
IRON MAN,MR. FANTASTIC,128
IRON MAN,HULK,85
IRON MAN,WOLVERINE,33
IRON MAN,INVISIBLE WOMAN,114
IRON MAN,SCARLET WITCH,372
IRON MAN,BEAST,142
IRON MAN,DR. STRANGE,52
IRON MAN,"WATSON-PARKER, MARY",0
IRON MAN,DAREDEVIL,53
IRON MAN,HAWK,294
IRON MAN,VISION,0
IRON MAN,CYCLOPS,28
IRON MAN,WASP,301
IRON MAN,"JAMESON, J. JONAH",27
IRON MAN,ANT-MAN,291
IRON MAN,SUB-MARINER,71
IRON MAN,STORM,22
IRON MAN,PROFESSOR X,29
IRON MAN,"FURY, COL. NICHOLAS",0
IRON MAN,MARVEL GIRL,23
IRON MAN,COLOSSUS II,17
IRON MAN,NIGHTCRAWLER,16
IRON MAN,ANGEL,32
IRON MAN,ICEMAN,26
IRON MAN,SHE-HULK,93
IRON MAN,"JARVIS, EDWIN",0
IRON MAN,WONDER MAN,249
IRON MAN,BLACK WIDOW,94
IRON MAN,"ROBERTSON, JOE",9
IRON MAN,"PARKER, MAY",9
IRON MAN,HERCULES [GREEK GOD],79
IRON MAN,QUICKSILVER,110
IRON MAN,SHADOWCAT,15
IRON MAN,"JONES, RICHARD MILHO",58
IRON MAN,ODIN [ASGARDIAN],17
IRON MAN,ROGUE ,11
IRON MAN,BLACK PANTHER,120
IRON MAN,SILVER SURFER,42
IRON MAN,CANNONBALL II,4
IRON MAN,PUNISHER II,2
IRON MAN,CAPTAIN BRITAIN,7
IRON MAN,"NELSON, FRANKLIN FOG",7
IRON MAN,DR. DOOM,40
IRON MAN,"RICHARDS, FRANKLIN B",27
IRON MAN,CRYSTAL [INHUMAN],44
IRON MAN,HAVOK,4
IRON MAN,"SUMMERS, NATHAN CHRI",4
IRON MAN,BALDER [ASGARDIAN],8
IRON MAN,LOKI [ASGARDIAN],28
IRON MAN,"BANNER, BETTY ROSS T",16
IRON MAN,IRON MAN IV,189
IRON MAN,"LEEDS, BETTY BRANT",6
IRON MAN,KINGPIN,6
IRON MAN,"THOMPSON, EUGENE FLA",5
IRON MAN,SIF,9
IRON MAN,FANDRAL [ASGARDIAN],8
IRON MAN,HOGUN [ASGARDIAN],7
IRON MAN,VOLSTAGG,5
IRON MAN,"CAGE, LUKE",19
IRON MAN,"DUGAN, TIMOTHY ALOYI",36
IRON MAN,WOLFSBANE,3
IRON MAN,PSYLOCKE,10
IRON MAN,BANSHEE,0
IRON MAN,WONG,11
IRON MAN,FALCON,44
IRON MAN,MAGNETO,14
IRON MAN,"ROSS, GEN. THADDEUS",0
IRON MAN,SUNSPOT,1
IRON MAN,BLACK KNIGHT V,50
IRON MAN,"MASTERS, ALICIA REIS",19
IRON MAN,IRON FIST,15
IRON MAN,GAMBIT,3
IRON MAN,"NORRISS, SISTER BARB",18
IRON MAN,CLEA,6
IRON MAN,JUBILEE,1
IRON MAN,BOOMER,2
IRON MAN,MOON KNIGHT,18
IRON MAN,USAGENT,87
IRON MAN,"OSBORN, HARRY",2
IRON MAN,"MACTAGGERT, MOIRA KI",1
IRON MAN,POLARIS,5
IRON MAN,KA-ZAR,3
IRON MAN,QUASAR III,43
IRON MAN,CAPTAIN MARVEL II,43
IRON MAN,MOCKINGBIRD,74
IRON MAN,NOVA,17
IRON MAN,SHANG-CHI,2
IRON MAN,MIRAGE II,2
IRON MAN,BINARY,77
IRON MAN,"HUDSON, HEATHER",2
IRON MAN,TIGRA,87
IRON MAN,SPIDER-MAN CLONE,0
IRON MAN,"PAGE, KAREN",2
IRON MAN,MEDUSA,15
IRON MAN,ZABU,2
IRON MAN,NAMORITA,15
IRON MAN,GHOST RIDER II,8
IRON MAN,"URICH, BEN",4
IRON MAN,FIRESTAR,42
IRON MAN,MOONDRAGON,50
IRON MAN,DRACULA,2
IRON MAN,"OSBORN, LIZ ALLAN",5
IRON MAN,HEIMDALL [ASGARDIAN],7
IRON MAN,SERSI,37
IRON MAN,THUNDERSTRIKE,21
IRON MAN,SASQUATCH,9
IRON MAN,DAZZLER II,8
IRON MAN,JUSTICE II,36
IRON MAN,MEGGAN,3
IRON MAN,"CARTER, SHARON",16
IRON MAN,GALACTUS,15
IRON MAN,GORGON [INHUMAN],11
IRON MAN,WHITE QUEEN,1
IRON MAN,PHOENIX III,6
IRON MAN,BLACK BOLT,14
IRON MAN,KARNAK [INHUMAN],10
IRON MAN,"WATSON, ANNA",2
IRON MAN,STARFOX,30
IRON MAN,BISHOP ,1
IRON MAN,PUCK,2
IRON MAN,RED SKULL,7
IRON MAN,ENCHANTRESS,19
IRON MAN,DOC SAMSON,13
